"Codigo";"Descripcion";"Diferencia";"Fecha";"GrupoBCV";"Unidad";"Suplidor";"Tipo";"ID";"PrecioMes1";"PrecioMes2";"PrecioMes3";"PrecioMes4";"PrecioMes5";"PrecioMes6";"PrecioMes7";"PrecioMes8";"PrecioMes9";"PrecioMes10";"PrecioMes11";"PrecioMes12";"PrecioUnitario";"PorcentajeDiferencia";"PrecioMes12daMoneda";"PrecioMes22daMoneda";"PrecioMes32daMoneda";"PrecioMes42daMoneda";"PrecioMes52daMoneda";"PrecioMes62daMoneda";"PrecioMes72daMoneda";"PrecioMes82daMoneda";"PrecioMes92daMoneda";"PrecioMes102daMoneda";"PrecioMes112daMoneda";"PrecioMes122daMoneda";"PrecioUnitario2daMoneda"
"999";"ANILLO DE GOMA SELLOFLEX 3""                     0711002";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"999";"16.41";"16.41";"16.41";"16.41";"16.41";"16.41";"16.41";"16.41";"16.41";"0";"0";"0";"16.41";"";"1.91036088474971";"1.91036088474971";"1.91036088474971";"1.91036088474971";"1.91036088474971";"1.91036088474971";"1.91036088474971";"1.91036088474971";"0";"0";"0";"0";"1.91036088474971"
"1000";"ANILLO DE GOMA SELLOFLEX 4""                     0711003";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1000";"22";"22";"22";"22";"22";"22";"22";"22";"22";"0";"0";"0";"22";"";"2.56111757857974";"2.56111757857974";"2.56111757857974";"2.56111757857974";"2.56111757857974";"2.56111757857974";"2.56111757857974";"2.56111757857974";"0";"0";"0";"0";"2.56111757857974"
"1001";"ANILLO DE GOMA SELLOFLEX 6""                     0711004";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1001";"30.68";"30.68";"30.68";"30.68";"30.68";"30.68";"30.68";"30.68";"30.68";"0";"0";"0";"30.68";"";"3.57159487776484";"3.57159487776484";"3.57159487776484";"3.57159487776484";"3.57159487776484";"3.57159487776484";"3.57159487776484";"3.57159487776484";"0";"0";"0";"0";"3.57159487776484"
"1002";"VALVULA TIPO FLOTANTE DE BRONCE D =    3/4""     0613002";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1002";"98.91";"98.91";"108.85";"108.85";"108.85";"108.85";"108.85";"108.85";"108.85";"0";"0";"0";"108.85";"";"12.6717112922002";"12.6717112922002";"12.6717112922002";"12.6717112922002";"12.6717112922002";"12.6717112922002";"12.6717112922002";"12.6717112922002";"0";"0";"0";"0";"12.6717112922002"
"1017";"BASE COMPLETA  5/8"" X 3/4"" P/MEDIDOR CONSUMO DE AGUA";"0";"24/8/2018 00:00:00";"12";"PIEZA";"TAVIRA (0244)321.3975/4001";"0";"1017";"118.91";"118.91";"118.91";"118.91";"118.91";"118.91";"118.91";"118.91";"118.91";"0";"0";"0";"118.91";"";"13.8428405122235";"13.8428405122235";"13.8428405122235";"13.8428405122235";"13.8428405122235";"13.8428405122235";"13.8428405122235";"13.8428405122235";"0";"0";"0";"0";"13.8428405122235"
"1023";"SIFON H.F. S/CAMPANA D = 2""         0214001";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1023";"90.41";"90.41";"90.41";"90.41";"90.41";"90.41";"90.41";"90.41";"90.41";"0";"0";"0";"90.41";"";"10.5250291036088";"10.5250291036088";"10.5250291036088";"10.5250291036088";"10.5250291036088";"10.5250291036088";"10.5250291036088";"10.5250291036088";"0";"0";"0";"0";"10.5250291036088"
"1031";"HIDRANTE DE POSTE BRIDA 4"" NACIONAL";"0";"24/8/2018 00:00:00";"12";"PIEZA";"TECNOFUEGO 239.3311/238.2824";"0";"1031";"14000";"14000";"14000";"14000";"14000";"14000";"14000";"14000";"14000";"0";"0";"0";"14000";"";"1629.80209545984";"1629.80209545984";"1629.80209545984";"1629.80209545984";"1629.80209545984";"1629.80209545984";"1629.80209545984";"1629.80209545984";"0";"0";"0";"0";"1629.80209545984"
"1032";"HIDRANTE DE POSTE BRIDA 6"" NACIONAL";"0";"24/8/2018 00:00:00";"12";"PIEZA";"TECNOFUEGO 239.3311/238.2824";"0";"1032";"14400";"14400";"14400";"14400";"14400";"14400";"14400";"14400";"14400";"0";"0";"0";"14400";"";"1676.36786961583";"1676.36786961583";"1676.36786961583";"1676.36786961583";"1676.36786961583";"1676.36786961583";"1676.36786961583";"1676.36786961583";"0";"0";"0";"0";"1676.36786961583"
"1068";"TE H.G. REDUCIDA D = 2 1/2"" x 1""                0112030";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1068";"78.15";"78.15";"78.15";"78.15";"78.15";"78.15";"78.15";"78.15";"78.15";"0";"0";"0";"78.15";"";"9.09778812572759";"9.09778812572759";"9.09778812572759";"9.09778812572759";"9.09778812572759";"9.09778812572759";"9.09778812572759";"9.09778812572759";"0";"0";"0";"0";"9.09778812572759"
"1069";"TANQUE DE FIBRA DE VIDRIO CILINDRICO P/AGUA 1000 Lts";"0";"24/8/2018 00:00:00";"12";"PIEZA";"LA FERIA DEL TANQUE 484.1732 482.3082";"0";"1069";"669.72";"669.72";"669.72";"669.72";"669.72";"669.72";"669.72";"669.72";"669.72";"0";"0";"0";"669.72";"";"77.965075669383";"77.965075669383";"77.965075669383";"77.965075669383";"77.965075669383";"77.965075669383";"77.965075669383";"77.965075669383";"0";"0";"0";"0";"77.965075669383"
"1070";"TANQUE DE FIBRA DE VIDRIO CILINDRICO P/AGUA 1500 Lts";"0";"24/8/2018 00:00:00";"12";"PIEZA";"LA FERIA DEL TANQUE 484.1732 482.3082";"0";"1070";"900.91";"900.91";"900.91";"900.91";"900.91";"900.91";"900.91";"900.91";"900.91";"0";"0";"0";"900.91";"";"104.878928987194";"104.878928987194";"104.878928987194";"104.878928987194";"104.878928987194";"104.878928987194";"104.878928987194";"104.878928987194";"0";"0";"0";"0";"104.878928987194"
"1071";"TANQUE DE FIBRA DE VIDRIO CILINDRICO P/AGUA 2000 Lts";"0";"24/8/2018 00:00:00";"12";"PIEZA";"LA FERIA DEL TANQUE 484.1732 482.3082";"0";"1071";"1440.37";"1440.37";"1440.37";"1440.37";"1440.37";"1440.37";"1440.37";"1440.37";"1440.37";"0";"0";"0";"1440.37";"";"167.679860302678";"167.679860302678";"167.679860302678";"167.679860302678";"167.679860302678";"167.679860302678";"167.679860302678";"167.679860302678";"0";"0";"0";"0";"167.679860302678"
"1074";"TAPA H.G. D =  2""                               0110007";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1074";"14.29";"14.29";"14.29";"14.29";"14.29";"14.29";"14.29";"14.29";"14.29";"0";"0";"0";"14.29";"";"1.66356228172293";"1.66356228172293";"1.66356228172293";"1.66356228172293";"1.66356228172293";"1.66356228172293";"1.66356228172293";"1.66356228172293";"0";"0";"0";"0";"1.66356228172293"
"1079";"VALVULA TIPO FLOTANTE DE BRONCE D =    2""       0613006";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1079";"786.61";"786.61";"865.3";"865.3";"865.3";"865.3";"865.3";"865.3";"865.3";"0";"0";"0";"865.3";"";"100.733410942957";"100.733410942957";"100.733410942957";"100.733410942957";"100.733410942957";"100.733410942957";"100.733410942957";"100.733410942957";"0";"0";"0";"0";"100.733410942957"
"1081";"REJILLA (REJILLONES) CIEGO  2"" x 3""             0618001";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1081";"46.79";"46.79";"46.79";"46.79";"46.79";"49.13";"49.13";"49.13";"49.13";"0";"0";"0";"49.13";"";"5.71944121071013";"5.71944121071013";"5.71944121071013";"5.71944121071013";"5.71944121071013";"5.71944121071013";"5.71944121071013";"5.71944121071013";"0";"0";"0";"0";"5.71944121071013"
"1082";"REJILLA (REJILLONES) CIEGO  3"" x 4""             0618002";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1082";"76.01";"76.01";"76.01";"76.01";"76.01";"79.81";"79.81";"79.81";"79.81";"0";"0";"0";"79.81";"";"9.29103608847497";"9.29103608847497";"9.29103608847497";"9.29103608847497";"9.29103608847497";"9.29103608847497";"9.29103608847497";"9.29103608847497";"0";"0";"0";"0";"9.29103608847497"
"1083";"TAPA H.G. D =  3/4""                             0110003";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1083";"3.62";"3.62";"3.62";"3.62";"3.62";"3.62";"3.62";"3.62";"3.62";"0";"0";"0";"3.62";"";"0.421420256111758";"0.421420256111758";"0.421420256111758";"0.421420256111758";"0.421420256111758";"0.421420256111758";"0.421420256111758";"0.421420256111758";"0";"0";"0";"0";"0.421420256111758"
"1084";"TAPA H.G. D =  1""                               0110004";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1084";"5.18";"5.18";"5.18";"5.18";"5.18";"5.18";"5.18";"5.18";"5.18";"0";"0";"0";"5.18";"";"0.60302677532014";"0.60302677532014";"0.60302677532014";"0.60302677532014";"0.60302677532014";"0.60302677532014";"0.60302677532014";"0.60302677532014";"0";"0";"0";"0";"0.60302677532014"
"1085";"TAPA H.G. D =  1 1/2""                           0110006";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1085";"10.25";"10.25";"10.25";"10.25";"10.25";"10.25";"10.25";"10.25";"10.25";"0";"0";"0";"10.25";"";"1.19324796274738";"1.19324796274738";"1.19324796274738";"1.19324796274738";"1.19324796274738";"1.19324796274738";"1.19324796274738";"1.19324796274738";"0";"0";"0";"0";"1.19324796274738"
"1086";"TAPA H.G. D =  2 1/2""                           0110008";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1086";"28.73";"28.73";"28.73";"28.73";"28.73";"28.73";"28.73";"28.73";"28.73";"0";"0";"0";"28.73";"";"3.34458672875437";"3.34458672875437";"3.34458672875437";"3.34458672875437";"3.34458672875437";"3.34458672875437";"3.34458672875437";"3.34458672875437";"0";"0";"0";"0";"3.34458672875437"
